method,cluster,type,cramer,percent_change,delay,size
cluster_distilbert_default,6,textblob_sentiment,0.14164,0,2,72
cluster_distilbert_default,12,bertweet_sentiment,0.14136,1.5,2,64
cluster_minilm_default,14,distilbert_sentiment,0.14136,0,2,46
cluster_distilbert_default,12,bertweet_sentiment,0.14133,0.5,2,64
cluster_minilm_dbcv,1,textblob_sentiment,0.14104,1.5,1,89
cluster_minilm_dbcv,1,textblob_sentiment,0.14104,2,1,89
cluster_minilm_dbcv,1,textblob_sentiment,0.14104,1,1,89
cluster_mpnet_dbcv,2,textblob_sentiment,0.14101,0,2,134
cluster_minilm_default,14,bertweet_sentiment,0.14048,1.5,3,46
cluster_distilbert_default,6,textblob_sentiment,0.13985,0.5,3,72
cluster_minilm_default,23,textblob_sentiment,0.13977,0.5,1,59
cluster_minilm_default,4,textblob_sentiment,0.1397,0,2,127
cluster_minilm_default,23,textblob_sentiment,0.13933,1.5,1,59
cluster_distilbert_default,2,textblob_sentiment,0.13925,0.5,2,87
cluster_distilbert_default,17,textblob_sentiment,0.13881,0.5,3,73
cluster_minilm_default,5,textblob_sentiment,0.1388,1.5,2,37
cluster_minilm_default,5,textblob_sentiment,0.1388,2,2,37
cluster_distilbert_default,3,bertweet_sentiment,0.13857,1,3,76
cluster_distilbert_default,3,bertweet_sentiment,0.13857,1.5,3,76
cluster_use_default,8,distilbert_sentiment,0.13844,0,1,108
cluster_minilm_default,20,bertweet_sentiment,0.13816,1.5,2,97
cluster_distilbert_default,17,bertweet_sentiment,0.13785,1.5,2,73
cluster_minilm_default,3,bertweet_sentiment,0.13757,1,3,53
cluster_mpnet_default,0,textblob_sentiment,0.13742,2,1,91
cluster_minilm_default,3,textblob_sentiment,0.13729,2,1,53
cluster_distilbert_default,17,distilbert_sentiment,0.13716,0,1,73
cluster_distilbert_default,2,textblob_sentiment,0.13713,0,2,87
cluster_minilm_default,2,distilbert_sentiment,0.13693,0,1,65
cluster_minilm_default,2,bertweet_sentiment,0.13685,1.5,3,65
cluster_distilbert_default,3,textblob_sentiment,0.13683,2,1,76
cluster_use_default,5,textblob_sentiment,0.13682,0,3,52
cluster_distilbert_default,2,textblob_sentiment,0.13678,0.5,3,87
