,date,open,high,low,close,adj
2802,2019-08-03,46.094999,46.763999999999996,45.5009995,46.266000500000004,46.266000500000004
2803,2019-08-04,46.0074985,46.518998999999994,45.328498749999994,45.96500075,45.96500075
2804,2019-08-05,45.919998,46.273998,45.155998,45.664001,45.664001
2805,2019-08-06,46.375999,46.5,45.150002,46.150002,46.150002
2806,2019-08-07,45.299999,46.714001,45.16,46.683997999999995,46.683997999999995
2807,2019-08-08,46.889998999999996,47.959998999999996,46.529999,47.66,47.66
2808,2019-08-09,47.209998999999996,47.792,46.762001,47.001999,47.001999
2809,2019-08-10,46.9039995,47.4729995,46.2560005,46.4019985,46.4019985
2810,2019-08-11,46.75099975,47.31349925,46.00300025,46.101998249999994,46.101998249999994
2811,2019-08-12,46.598,47.153999,45.75,45.801998,45.801998
2812,2019-08-13,45.762001,47.200001,45.509997999999996,47.0,47.0
2813,2019-08-14,46.242001,46.299999,43.338001,43.924,43.924
2814,2019-08-15,44.172001,44.312,42.310001,43.127998,43.127998
2815,2019-08-16,43.332001,44.448002,43.203998999999996,43.987999,43.987999
2816,2019-08-17,44.087,45.007002,43.7719995,44.67700000000001,44.67700000000001
2817,2019-08-18,44.4644995,45.286502,44.05599975,45.0215005,45.0215005
2818,2019-08-19,44.841999,45.566002000000005,44.34,45.366001000000004,45.366001000000004
2819,2019-08-20,45.523998,45.818001,44.908001,45.172001,45.172001
2820,2019-08-21,44.402,44.644001,43.52,44.166,44.166
2821,2019-08-22,44.560001,45.080002,43.644001,44.43,44.43
2822,2019-08-23,43.993999,44.234001,42.200001,42.279999,42.279999
2823,2019-08-24,43.357,43.619001499999996,42.254000000000005,42.6399995,42.6399995
2824,2019-08-25,43.0385005,43.31150175,42.28099950000001,42.81999975,42.81999975
2825,2019-08-26,42.720001,43.004002,42.307999,43.0,43.0
2826,2019-08-27,43.147999,43.759997999999996,42.405998,42.816002000000005,42.816002000000005
2827,2019-08-28,42.737999,43.450001,42.462002000000005,43.118,43.118
2828,2019-08-29,43.799999,44.68,43.599998,44.341999,44.341999
2829,2019-08-30,45.830002,46.487999,44.841999,45.122002,45.122002
2830,2019-08-31,45.323002,46.139,44.736999499999996,45.062000499999996,45.062000499999996
2831,2019-09-01,45.069502,45.9645005,44.68449975,45.03199975,45.03199975
2832,2019-09-02,44.942752,45.87725075,44.658249874999996,45.016999375,45.016999375
2833,2019-09-03,44.816002000000005,45.790001000000004,44.632,45.001999,45.001999
2834,2019-09-04,45.377998,45.692001,43.841999,44.136002000000005,44.136002000000005
2835,2019-09-05,44.5,45.959998999999996,44.169998,45.916,45.916
2836,2019-09-06,45.439999,45.928001,45.034,45.490002000000004,45.490002000000004
2837,2019-09-07,45.7199995,46.34,45.4400005,45.924002,45.924002
2838,2019-09-08,45.85999975,46.5459995,45.64300075,46.141002,46.141002
2839,2019-09-09,46.0,46.751999,45.846001,46.358002,46.358002
2840,2019-09-10,46.16,47.108002,45.787997999999995,47.108002,47.108002
2841,2019-09-11,47.476002,49.633998999999996,47.200001,49.419998,49.419998
2842,2019-09-12,49.540001000000004,50.700001,48.880001,49.174,49.174
2843,2019-09-13,49.391998,49.689999,48.973999,49.040001000000004,49.040001000000004
2844,2019-09-14,49.2959995,49.587999499999995,48.604,48.8010005,48.8010005
2845,2019-09-15,49.248000250000004,49.53699974999999,48.419000499999996,48.68150025,48.68150025
2846,2019-09-16,49.200001,49.486,48.234001,48.562,48.562
2847,2019-09-17,48.493999,49.119999,48.074001,48.958,48.958
2848,2019-09-18,49.0,49.633998999999996,48.473999,48.698002,48.698002
2849,2019-09-19,49.200001,49.588001,48.967999,49.32,49.32
2850,2019-09-20,49.298,49.389998999999996,47.632,48.124001,48.124001
2851,2019-09-21,48.649,49.212998999999996,47.738001,48.1849995,48.1849995
2852,2019-09-22,48.3245,49.124499,47.7910015,48.21549875,48.21549875
2853,2019-09-23,48.0,49.035999,47.844002,48.245998,48.245998
2854,2019-09-24,48.304001,48.397999,44.521999,44.641998,44.641998
2855,2019-09-25,44.911999,45.796001000000004,43.672001,45.740002000000004,45.740002000000004
2856,2019-09-26,46.132,48.661999,45.48,48.512001,48.512001
2857,2019-09-27,48.439999,49.742001,47.745998,48.425999,48.425999
2858,2019-09-28,48.5199985,49.269001,47.483999,48.2999995,48.2999995
2859,2019-09-29,48.55999825,49.032501,47.352999499999996,48.236999749999995,48.236999749999995
2860,2019-09-30,48.599998,48.796001000000004,47.222,48.174,48.174
2861,2019-10-01,48.299999,49.189999,47.826,48.938,48.938
2862,2019-10-02,48.658001,48.93,47.886002000000005,48.625999,48.625999
2863,2019-10-03,46.372002,46.896,44.855999,46.605999,46.605999
2864,2019-10-04,46.321999,46.956001,45.613997999999995,46.285999,46.285999
2865,2019-10-05,46.140998999999994,47.3340015,45.661998499999996,46.914998999999995,46.914998999999995
2866,2019-10-06,46.050498999999995,47.523001750000006,45.685998749999996,47.229499,47.229499
2867,2019-10-07,45.959998999999996,47.712002000000005,45.709998999999996,47.543999,47.543999
2868,2019-10-08,47.174,48.787997999999995,46.900002,48.009997999999996,48.009997999999996
2869,2019-10-09,48.264,49.459998999999996,48.130001,48.905998,48.905998
2870,2019-10-10,49.056,49.855999,48.316002000000005,48.948002,48.948002
2871,2019-10-11,49.43,50.216,49.362,49.577999,49.577999
2872,2019-10-12,49.505001,50.962999499999995,49.3939995,50.4849985,50.4849985
2873,2019-10-13,49.5425015,51.336499249999996,49.40999925,50.93849825,50.93849825
2874,2019-10-14,49.580002,51.709998999999996,49.425999,51.391998,51.391998
2875,2019-10-15,51.540001000000004,52.0,50.824001,51.577999,51.577999
2876,2019-10-16,51.478001,52.419998,51.383998999999996,51.950001,51.950001
2877,2019-10-17,52.5,52.956001,52.034,52.394001,52.394001
2878,2019-10-18,52.139998999999996,52.560001,51.02,51.389998999999996,51.389998999999996
2879,2019-10-19,51.90299949999999,52.2300015,50.5279995,51.045,51.045
2880,2019-10-20,51.784499749999995,52.06500175,50.28199925,50.8725005,50.8725005
2881,2019-10-21,51.666,51.900002,50.035999,50.700001,50.700001
2882,2019-10-22,50.863997999999995,51.666,50.169998,51.116001000000004,51.116001000000004
2883,2019-10-23,50.900002,51.228001,50.27,50.936001,50.936001
2884,2019-10-24,59.674,60.986,57.84,59.936001,59.936001
2885,2019-10-25,59.543999,66.0,59.222,65.625999,65.625999
2886,2019-10-26,62.526001,67.0839995,61.8709985,65.5839995,65.5839995
2887,2019-10-27,64.017002,67.62599925,63.19549775,65.56299975,65.56299975
2888,2019-10-28,65.508003,68.167999,64.519997,65.542,65.542
2889,2019-10-29,63.998001,64.860001,62.950001,63.243999,63.243999
2890,2019-10-30,62.599998,63.757999,61.993999,63.001999,63.001999
2891,2019-10-31,62.619999,63.799999,62.599998,62.984001,62.984001
2892,2019-11-01,63.264,63.296001000000004,61.959998999999996,62.661999,62.661999
2893,2019-11-02,63.111999499999996,63.842000500000005,61.906,63.077999000000005,63.077999000000005
2894,2019-11-03,63.035999249999996,64.11500025000001,61.879000500000004,63.285999000000004,63.285999000000004
2895,2019-11-04,62.959998999999996,64.388,61.852001,63.493999,63.493999
2896,2019-11-05,63.924,64.702003,63.223999,63.444,63.444
2897,2019-11-06,63.599998,65.344002,62.900002,65.316002,65.316002
2898,2019-11-07,65.82800300000001,68.300003,65.603996,67.108002,67.108002
2899,2019-11-08,66.900002,67.491997,66.5,67.428001,67.428001
2900,2019-11-09,67.8450015,68.664997,67.450001,68.22299949999999,68.22299949999999
2901,2019-11-10,68.31750124999999,69.251497,67.92500150000001,68.62049875,68.62049875
2902,2019-11-11,68.790001,69.837997,68.400002,69.01799799999999,69.01799799999999
2903,2019-11-12,69.379997,70.07399699999999,68.807999,69.986,69.986
2904,2019-11-13,71.0,71.265999,69.03600300000001,69.222,69.222
2905,2019-11-14,69.222,70.76799799999999,68.582001,69.870003,69.870003
2906,2019-11-15,70.127998,70.559998,69.67199699999999,70.433998,70.433998
2907,2019-11-16,70.355999,70.5949975,69.445999,70.21599950000001,70.21599950000001
2908,2019-11-17,70.4699995,70.61249725,69.333,70.10700025,70.10700025
2909,2019-11-18,70.584,70.629997,69.220001,69.998001,69.998001
2910,2019-11-19,70.349998,71.998001,69.559998,71.903999,71.903999
2911,2019-11-20,72.0,72.239998,69.914001,70.444,70.444
2912,2019-11-21,70.902,72.167999,70.800003,70.966003,70.966003
2913,2019-11-22,68.031998,68.199997,66.0,66.608002,66.608002
2914,2019-11-23,68.447998,68.55699899999999,66.445999,66.93799999999999,66.93799999999999
2915,2019-11-24,68.655998,68.7355,66.6689985,67.10299899999998,67.10299899999998
2916,2019-11-25,68.863998,68.914001,66.891998,67.26799799999999,67.26799799999999
2917,2019-11-26,67.054001,67.099998,65.41999799999999,65.783997,65.783997
2918,2019-11-27,66.22399899999999,66.78600300000001,65.71399699999999,66.258003,66.258003
2919,2019-11-28,66.22299949999999,66.519001,65.6069985,66.123001,66.123001
2920,2019-11-29,66.222,66.251999,65.5,65.987999,65.987999
2921,2019-11-30,66.05099849999999,66.76400000000001,65.6189995,66.480999,66.480999
2922,2019-12-01,65.96549775,67.02000050000001,65.67849925,66.727499,66.727499
2923,2019-12-02,65.879997,67.27600100000001,65.737999,66.97399899999999,66.97399899999999
2924,2019-12-03,66.524002,67.582001,66.438004,67.239998,67.239998
2925,2019-12-04,67.550003,67.571999,66.57,66.606003,66.606003
2926,2019-12-05,66.566002,66.884003,65.449997,66.07399699999999,66.07399699999999
2927,2019-12-06,67.0,67.772003,66.954002,67.178001,67.178001
2928,2019-12-07,67.15900049999999,68.331001,66.9850005,67.5419995,67.5419995
2929,2019-12-08,67.23850074999999,68.6105,67.00049974999999,67.72399874999999,67.72399874999999
2930,2019-12-09,67.318001,68.889999,67.015999,67.905998,67.905998
2931,2019-12-10,67.991997,70.146004,67.862,69.76799799999999,69.76799799999999
2932,2019-12-11,70.375999,71.438004,70.218002,70.540001,70.540001
2933,2019-12-12,70.984001,72.547997,70.646004,71.935997,71.935997
2934,2019-12-13,72.209999,73.042,70.928001,71.678001,71.678001
2935,2019-12-14,72.3600005,74.882,71.7140005,73.989002,73.989002
2936,2019-12-15,72.43500125,75.80199999999999,72.10700025,75.1445025,75.1445025
2937,2019-12-16,72.510002,76.722,72.5,76.300003,76.300003
2938,2019-12-17,75.797997,77.099998,75.18,75.797997,75.797997
2939,2019-12-18,76.125999,79.043999,76.115997,78.629997,78.629997
2940,2019-12-19,79.46399699999999,81.370003,79.300003,80.807999,80.807999
2941,2019-12-20,82.057999,82.599998,80.038002,81.11799599999999,81.11799599999999
2942,2019-12-21,82.20700099999999,83.50099900000001,81.019001,82.480999,82.480999
2943,2019-12-22,82.28150199999999,83.95149950000001,81.5095005,83.1625005,83.1625005
2944,2019-12-23,82.356003,84.402,82.0,83.844002,83.844002
2945,2019-12-24,83.67199699999999,85.094002,82.538002,85.050003,85.050003
2946,2019-12-25,84.626999,85.89500050000001,83.9039995,85.6190035,85.6190035
2947,2019-12-26,85.582001,86.695999,85.269997,86.188004,86.188004
2948,2019-12-27,87.0,87.061996,85.222,86.07599599999999,86.07599599999999
2949,2019-12-28,86.3790015,86.4309995,83.5369985,84.507999,84.507999
2950,2019-12-29,86.06850225,86.11550125,82.69449775,83.7240005,83.7240005
2951,2019-12-30,85.758003,85.800003,81.851997,82.940002,82.940002
2952,2019-12-31,81.0,84.258003,80.416,83.666,83.666
2953,2020-01-01,82.950001,85.19900100000001,82.3790015,84.859001,84.859001
2954,2020-01-02,84.900002,86.139999,84.342003,86.052002,86.052002
2955,2020-01-03,88.099998,90.800003,87.384003,88.601997,88.601997
2956,2020-01-04,88.09700000000001,90.5559995,87.6920015,89.45499799999999,89.45499799999999
2957,2020-01-05,88.09550100000001,90.43399775,87.84600075,89.88149849999999,89.88149849999999
2958,2020-01-06,88.094002,90.311996,88.0,90.307999,90.307999
2959,2020-01-07,92.279999,94.32599599999999,90.67199699999999,93.811996,93.811996
2960,2020-01-08,94.739998,99.697998,93.646004,98.428001,98.428001
2961,2020-01-09,99.41999799999999,99.760002,94.57399699999999,96.26799799999999,96.26799799999999
2962,2020-01-10,96.358002,96.987999,94.739998,95.629997,95.629997
2963,2020-01-11,97.5289995,101.05699899999999,96.57,100.30099849999999,100.30099849999999
2964,2020-01-12,98.11449825,103.091499,97.485001,102.63649924999999,102.63649924999999
2965,2020-01-13,98.699997,105.125999,98.400002,104.972,104.972
2966,2020-01-14,108.851997,109.48200200000001,104.980003,107.584,107.584
2967,2020-01-15,105.952003,107.568001,103.358002,103.699997,103.699997
2968,2020-01-16,98.75,102.891998,98.433998,102.697998,102.697998
2969,2020-01-17,101.522003,103.134003,100.63200400000001,102.099998,102.099998
2970,2020-01-18,103.786003,106.425003,103.1570015,105.77000000000001,105.77000000000001
2971,2020-01-19,104.918003,108.070503,104.41950025,107.60500100000002,107.60500100000002
2972,2020-01-20,105.484003,108.893253,105.05074962500001,108.5225015,108.5225015
2973,2020-01-21,106.050003,109.716003,105.681999,109.440002,109.440002
2974,2020-01-22,114.377998,118.900002,111.82,113.912003,113.912003
2975,2020-01-23,112.849998,116.400002,111.120003,114.440002,114.440002
2976,2020-01-24,114.125999,114.772003,110.851997,112.96399699999999,112.96399699999999
2977,2020-01-25,111.262001,113.83000150000001,109.354,112.2839965,112.2839965
2978,2020-01-26,109.83000200000001,113.35900075,108.6050015,111.94399625,111.94399625
2979,2020-01-27,108.398003,112.888,107.856003,111.603996,111.603996
2980,2020-01-28,113.697998,115.362,111.615997,113.379997,113.379997
2981,2020-01-29,115.138,117.959999,113.486,116.197998,116.197998
2982,2020-01-30,126.484001,130.175995,123.599998,128.162003,128.162003
2983,2020-01-31,128.0,130.600006,126.503998,130.113998,130.113998
